"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1415670_at",259.929,336.264,258.739,283.418,353.983,180.423,289.72,232.116,334.865,364.879,337.994,324.835,354.813,321.947,343.736,242.891,219.557,222.383,296.22,249.18
"1415671_at",909.369,1241.3,999.684,836.286,1364.58,964.585,1321.35,1135.29,1541.65,1471.21,1511.39,1398.12,1481.91,1434.66,1487.8,1029.79,1004.01,1044.15,1166.5,1305.87
"1415672_at",829.016,1109.18,824.419,794.018,1369.01,1346.89,1578.81,1408.79,1715.06,1957.16,1909.27,1733.77,1796.49,1600.67,1640.28,1385.14,1363.66,1194.35,1534.44,1406.16
"1415673_at",52.7352,70.7828,61.3002,59.7653,94.6528,94.1857,97.7196,66.755,125.975,108.155,124.472,101.935,122.289,99.7525,109.709,78.2487,66.0532,83.498,102.849,105.799
"1415674_a_at",243.244,310.545,239.686,222,390.828,383.835,415.665,372.517,442.189,442.711,395.57,390.15,413.05,400.739,447.947,301.529,329.825,287.216,403.229,399.129
"1415675_at",151.57,181.307,114.785,109.686,214.609,185.285,218.921,194.715,237.546,250.738,235.33,214.598,275.45,238.257,235.501,203.955,181.383,180.609,223.31,214.326
"1415676_a_at",1269.83,1782.45,1477.57,1175.91,2099.33,1506.96,1673.49,1460.3,2125.73,2159.89,1976.05,1795.68,1953.96,1885.25,2091.85,1530.47,1446.04,1591.79,1605.39,1542.82
"1415677_at",395.586,756.486,545.004,458.366,678.811,641.602,793.789,708.257,964.179,1026.07,831.451,825.511,922.407,969.69,990.432,828.238,661.185,559.97,906.498,731.971
"1415678_at",1301.38,1260.13,1075.04,1018.15,1349.9,1072.03,1235.92,1446.54,1213.1,1374.8,1423.24,1260.02,1550.94,1344.88,1441.39,1112.6,1138.19,1017.54,1154.62,1371.16
"1415679_at",1154.66,1410.3,1066.91,1003.59,1746.58,1231.44,1427.61,1308.12,1532.15,1729.3,1554.15,1554.46,1770.57,1483.89,1698.26,1351.75,1208.92,1165.27,1354.11,1416.35
"1415680_at",146.531,210.668,138.059,139.974,248.95,227.782,247.033,239.877,288.624,304.292,273.623,226.579,258.554,197.815,267.323,217.771,179.549,211.454,259.503,195.263
"1415681_at",706.296,800.074,596.168,452.194,922.606,786.165,869.634,796.588,961.388,1062,915.508,993.738,920.48,904.811,960.682,784.4,775.642,781.443,833.784,783.74
"1415682_at",113.353,152.369,131.116,106.389,220.289,150.998,190.186,179.052,200.316,231.086,192.662,170.592,206.846,196.338,227.264,140.439,155.958,156.211,136.268,159.714
"1415683_at",1205.72,1347.9,1134.86,957.246,1311.2,1065.38,1212.95,1175.65,1305.33,1305.06,1155.84,1110.04,1155.71,1148.22,1215.84,1101.61,984.491,1029.39,1063.5,1166.37
"1415684_at",335.681,501.657,372.864,319.158,550.64,498.814,515.523,623.722,680.127,788.474,644.777,642.372,684.931,641.153,639.876,590.95,551.711,573.347,744.394,493.102
"1415685_at",355.664,427.595,315.307,283.435,529.156,518.273,471.381,599.981,686.637,686.519,588.894,573.188,687.882,677.567,694.533,452.037,448.979,456.612,620.184,477.45
"1415686_at",485.197,627.88,475.423,444.75,675.336,741.445,919.544,841.923,1070.86,1069.84,876.328,916.016,1036.41,921.868,931.131,693.842,697.212,760.59,906.182,675.934
"1415687_a_at",1867.6,3294.64,2833.1,2466.51,3370.56,2936.04,5039.36,2840.98,4398.11,4093.24,4644.95,5217.13,3655.58,4831.21,4741.01,3355.56,3160,3158.49,2777.74,5078.13
"1415688_at",857.408,1153.94,867.885,845.076,1143.54,1111.09,1180.81,1176.72,1359.83,1365.75,1072.44,1045.28,1162.69,1122.58,1223.12,1042.03,984.92,967.792,1054.95,1079.1
"1415689_s_at",244.542,349.141,296.3,200.055,475.643,428.98,441.033,406.113,527.34,556.755,436.58,466.36,524.966,466.485,593.067,333.84,334.958,328.302,390.968,347.711
"1415690_at",989.505,1296.25,1036.06,931.811,1120.38,1161.85,1138.77,1187.35,1304.14,1331.75,1012.61,1095.9,1239.37,1113.17,1252.04,1147.12,1045.95,995.97,1303.9,1111.45
