species,coronavirus,isolate,year,gbacc
Human,SARS-CoV-2,Wuhan Hu-1,2020,NC_045512.2
Human,SARS-CoV-2,USA-WA-1,2020,MN985325.1
Human,SARS-CoV-1,Urbani,2002,AY278741.1
Human,SARS-CoV-1,Tor2,2002,AY274119.3
Human,SARS-CoV-1,GD03T10013,2003,AY525636.1
Human,H-CoV-OC43,UK/London,2011,KU131570.1
Human,MERS-CoV,EMC-2012,2011,NC_019843.3
Civet,SARS-CoV,SZ3,2003,AY304486.1
Civet,SARS-CoV,Civet007,2004,AY572034.1
Bat,SL-CoV,ZXC21,2015,MG772934.1
Bat,SL-CoV,WIV16,2013,KT444582.1
Bat,SL-CoV,RaTG13,2013,MN996532.1
Pangolin,SL-CoV,MP789,2020,MT084071.1
